No,Level_1,Level_2,Level_3,Object_name,Class_name,Old_name,Color,Packaging,Features,Description,Year,Picture,최종 검토 결과,
46,Food & Beverage,Snack,Cracker,cham_cracker_box,obj_046,cracker_box,"white, black, yellow",box packaging,"snack image, Korean logo, “촘” text","A box in white, black, and yellow showing a snack image, Korean logo, and “촘” text.",2025,,O,
47,Food & Beverage,Snack,Cream Puff Snack,homerun_ball_plastic_pack,obj_047,cream_puffs_snack_pack,"green, red",plastic wrapping,"cartoon character, cream image, “홈런볼” text","A green and red plastic-wrapped item with a cartoon character, cream image, and “홈런볼” text.",2025,,O,
48,Electronics,Cooling Device,Handheld Fan,handheld_fan,obj_048,hand_fan,white,,"portable, circular fan guard, with handle",A white portable item with a circular fan guard and handle.,2025,,O,
49,Industrial Supplies,Processing Tool,LAN Tool,lan_tool,obj_049,crimping_tool,black,,"metal material, handle-type tool",A black metal tool with a handle-type design.,2025,,O,
50,Food & Beverage,Noodle,Cup Noodles,jin_ramen_cup,obj_050,cup_noodles,"yellow, red",,"ramen image, “진라면” text",A yellow and red item featuring a ramen image and “진라면” text.,2025,,O,
51,General Goods,Interior Item,Cushion,cushion,obj_051,cushion,"orange, blue, white, brown, yellow",,"various animal characters, rectangular shape","A rectangular item in orange, blue, white, brown, and yellow with various animal characters.",2025,,O,
52,General Goods,Indoor Fragrance,Diffuser Bottle,diffuser_bottle,obj_052,diffuser,pink,,"ceramic material, no lid, vase shape","A pink ceramic item shaped like a vase, without a lid.",2025,,O,
53,Food & Beverage,Snack,Digestive Biscuit,diget_mini_box,obj_053,digestive_cookies_box,"mung_green, dark_brown, yellow",box packaging,"chocolate cookie image, “mini” text","A mung green, dark brown, and yellow box showing a chocolate cookie image and “mini” text.",2025,,O,
54,Electronics,Measurement Tool,Digital Timer,digital_timer,obj_054,digital_timer,"white, light_blue",,"small size, 3 buttons",A small item in white and light blue with three buttons.,2025,,O,
55,Sports & Hobby,Musical Accessory,Drumstick,drumstick,obj_055,drum_stick,yellow,,"elongated shape, wood material",A yellow item made of wood with an elongated shape.,2025,,O,
56,Sports & Hobby,Interior Item,Wand Figure,harry_potter_wand_figure_box,obj_056,figure_box,navy,box packaging,"Harry Potter-themed image, yellow text, wand image","A navy box featuring a Harry Potter-themed image, yellow text, and a wand illustration.",2025,,O,
57,Electronics,Camera Device,Camera,film_camera,obj_057,film_camera,"khaki, black, white",,"“Kodak” logo, with lens, square shape","A khaki, black, and white square item with a “Kodak” logo and a visible lens.",2025,,O,
58,General Goods,Fire Safety Tool,Fire Extinguisher,reborncar_car_fire_extinguisher,obj_058,fire_extinguisher,"light_blue, white, black",,"“REBORN” logo, black handle, with pressure gauge","An item in light blue, white, and black with a “REBORN” logo, black handle, and pressure gauge.",2025,,O,
59,General Goods,Fire Safety Tool,Fire Extinguisher,reborncar_car_fire_extinguisher_box,obj_059,fire_extinguisher_box,"light_blue, white",box packaging,"white extinguisher image, square shape",A light blue and white box displaying a white extinguisher image and a square shape.,2025,,O,
60,Electronics,Entertainment,Gamepad,nintendo_switch_gamepad_box,obj_060,gamepad_box,"black, white, red",box packaging,joystick image,"A black, white, and red box featuring a joystick image.",2025,,O,
61,Industrial Supplies,Car Care,Oil Film Remover,glaco_oil_film_remover,obj_061,glass_compound,"black, orange",,"glaco logo, pad attached to cap, T-shape","A black and orange item featuring the Glaco logo, a T-shape, and a pad attached to the cap.",2025,,O,
62,Industrial Supplies,Repair Tool,Putty,zillion_red_putty,obj_062,glazing_putty,"green, white",tube type,“GLAZING PUTTY” text,A green and white tube printed with “GLAZING PUTTY” text.,2025,,O,
63,Electronics,Camera Device,Camera,dslr_camera,obj_063,dslr_camera,black,,"with display, with a large lens",A black item with a display and a large lens.,2025,,O,
64,Fashion Accessories,Winter Item,Ear Muffs,ear_muffs,obj_064,earmuffs,"brown, black",,"cushion texture, tag attached",A brown and black item with a cushion texture and an attached tag.,2025,,O,
65,Beauty,Skincare Tool,Vibrating Cleanser,vibrating_cleanser,obj_065,electric_facial_cleanser,"white, pink",,"handle type, round brush, spoon shape",A white and pink handle-type item with a round brush and a spoon-shaped tip.,2025,,O,
66,Sports & Hobby,String Instrument,Guitar String,elixir_nanoweb_electric_guitar_strings_box,obj_066,electric_guitar_string_box,"orange, navy",box packaging,"Elixir logo, 3PACK text",An orange and navy box featuring the Elixir logo and “3PACK” text.,2025,,O,
67,Office Supplies,Adhesive Tool,Glue Stick,glue_stick,obj_067,glue_stick,"yellow, green",stick type,"Korean logo, yellow cap, “딱풀” text","A yellow and green stick-type item with a yellow cap, Korean logo, and “딱풀” text.",2025,,O,
68,Industrial Supplies,Adhesive Tool,Glue Gun,glue_gun,obj_068,gluegun,"blue, white",,"white trigger, blue body, gun shape","A blue and white item with a white trigger, blue body, and shaped like a gun.",2025,,O,
69,Sports & Hobby,Golf Item,Golf Tee,golf_tee,obj_069,golf_tee,"white, black",,"elongated, small and thin, plastic material","A white and black item made of plastic, elongated, small, and thin.",2025,,O,
70,Electronics,Audio Device,Guitar Effect Pedal,ckk_overdriver,obj_070,guitar_effects_pedal,"yellow, black, silver",,"has buttons and knobs, horse carriage illustration","A yellow, black, and silver item with buttons, knobs, and a horse carriage illustration.",2025,,O,
71,Sports & Hobby,Instrument Care,Guitar Oil,dunlop_guitar_oil,obj_071,guitar_fingerboard_conditioner,"black, brown, white",plastic bottle,"“Dunlop 02” text, black cap","A plastic bottle in black, brown, and white with “Dunlop 02” text and a black cap.",2025,,O,
72,Fashion Accessories,Fastening Tool,Hair Pin,hair_pin,obj_072,hair_clip,"teal, silver",,alligator clip shape,A teal and silver item shaped like an alligator clip.,2025,,O,
73,Beauty,Hair Styling Tool,Electric Hair Clipper,electric_hair_clipper,obj_073,hair_clipper,"white, silver",,"curved shape, metal and plastic material",A white and silver item made of metal and plastic with a curved shape.,2025,,O,
74,Beauty,Hair Styling Tool,Hair Straightener,oha_hair_straightener,obj_074,hair_straightener,black,,panel-style straight hair iron,A black panel-style item designed like a straight hair iron.,2025,,O,
75,Industrial Supplies,Car Care,Tire Inflator,tire_inflator,obj_075,electric_tire_inflator,"black, orange, gray",,"with handle, multiple buttons","A black, orange, and gray item with multiple buttons and a handle.",2025,,O,
76,Sports & Hobby,Measurement Tool,Grip Strength Meter,grip_strength_meter,obj_076,electronic_hand_dynamometer,"light_blue, white",,"electronic display, handle structure",A light blue and white item with an electronic display and a handle structure.,2025,,O,
77,Industrial Supplies,Repair Tool,Putty,tamiya_epoxy_putty_box,obj_077,epoxy_putty_box,light_green,box packaging,"TAMIYA logo, lots of text on light green background",A light green box displaying the TAMIYA logo and lots of text on a light green background.,2025,,O,
78,Office Supplies,Writing Tool,Eraser,eraser,obj_078,eraser,"white, light_green",paper sleeve,animal illustration,A white and light green paper sleeve with an animal illustration.,2025,,O,
79,Electronics,Communication Device,Switching Hub,iptime_switching_hub,obj_079,ethernet_switch,"white, orange",,"8 orange LAN ports, rectangular shape",A white and orange item with eight orange LAN ports and a rectangular shape.,2025,,O,
80,Fashion Accessories,Accessory,Headband,headband,obj_080,hairband,black,,"curved shape, plastic material",A black plastic item with a curved shape.,2025,,O,
81,General Goods,Air Pump Tool,Hand Pump,hand_pump,obj_081,hand_air_pump,white,,"cylindrical shape, piston handle",A white cylindrical item with a piston-style handle.,2025,,O,
82,Sports & Hobby,Fitness Equipment,Hand Grip Trainer,gd_grip_hand_grip_trainer,obj_082,hand_grip,"silver, red, black",,"metal material, red spring","A metal item in silver, red, and black with a visible red spring.",2025,,O,
83,Beauty,Eyebrow Care Tool,Eyebrow Trimmer,eyebrow_trimmer_box,obj_083,eye_clipper_box,white,,"oval ceramic, dual handles",A white oval ceramic piece with dual handles.,2025,,O,
84,General Goods,Laundry Product,Fabric Softener,downy_fabric_softener,obj_084,fabric_softener,yellow,plastic bottle,"Downy logo, flower illustration",A yellow plastic bottle featuring the Downy logo and a flower illustration.,2025,,O,
85,General Goods,Clothing Care,Fabric Deodorizer,febreze_unscented_fabric_deodorizer,obj_085,fabric_spray,"gray, white",spray container,"""페브리즈"" text, spray type",A gray and white spray container printed with “페브리즈” text and a spray-type nozzle.,2025,,O,
86,General Goods,Clothing Care,Hanger,hanger,obj_086,hanger,black,,"curved shape, chrome ring included",A black item with a curved shape and a chrome ring detail.,2025,,O,
87,Office Supplies,Writing Tool,Highlighter,highlighter,obj_087,highlighter_pen,"neon, black",,"detachable lid, neon-colored cap",A neon and black item with a detachable lid and a neon-colored cap.,2025,,O,
88,Health & Medical,Sanitizing Product,Hydrogen Peroxide,hydrogen_peroxide_bottle,obj_088,hydrogen_peroxide,"red, white",plastic bottle,"white cap, red body, with label","A red and white plastic bottle with a white cap, red body, and a visible label.",2025,,O,
89,Food & Beverage,Coffee,Instant Coffee,instant_coffee_can,obj_089,instant_coffee_can,brown,metal can,"aluminum material, white label",A brown metal can with an aluminum finish and a white label.,2025,,O,
90,General Goods,Tableware,Tumbler,stanley_tumbler,obj_090,insulated_tumbler,white,,"silver border, insulated lid structure",A white item with a silver border and an insulated lid structure.,2025,,O,
91,Kitchenware,Cooking Tool,Kitchen Knife,kitchen_knife,obj_091,kitchen_knife,"black, silver",,"silver blade, rubber handle",A black and silver item featuring a silver blade and a rubber handle.,2025,,O,
92,Electronics,Lighting Device,Lamp,geni_led_lamp_box,obj_092,led_lamp_box,"white, navy",box packaging,"light bulb image, ""geni"" text",A white and navy box with a light bulb image and “geni” text.,2025,,O,
93,Food & Beverage,Juice,Lemon Juice,organic_lemon_juice,obj_093,lemon_juice_packet,"yellow, white, black",plastic pouch,"lemon illustration, small-sized tube","A yellow, white, and black plastic pouch with a lemon illustration and a small-sized tube.",2025,,O,
94,Food & Beverage,Juice,Lemon Juice,organic_lemon_juice_box,obj_094,lemon_juice_packet_box,"yellow, white, black",box packaging,"""100% 착즙 유기농 레몬"" text, lemon image","A yellow, white, and black box showing “100% 착즙 유기농 레몬” text and a lemon image.",2025,,O,
95,Electronics,Clothing Care,Lint Remover,lint_remover,obj_095,lint_remover,"silver, gray",,"steel mesh head, with handle, round head",A silver and gray item with a round steel mesh head and a handle.,2025,,O,
96,General Goods,Clothing Care,Lint Roller,lint_roller,obj_096,lint_roller,white,,"with handle, refillable type, T-shape","A white item with a handle, refillable design, and a T-shaped structure.",2025,,O,
97,Beauty,Makeup,Lipstick,lipstick,obj_097,lip_stick,"black, red",,"small cuboid shape, lip product","A black and red item in a small cuboid shape, designed as a lip product.",2025,,O,
98,Beauty,Makeup,Makeup Fixer,makeup_fixer_box,obj_098,makeup_fix_gel_box,pink,box packaging,"""FIXX"" text, elongated_shape",A pink box with “FIXX” text and an elongated shape.,2025,,O,
99,General Goods,Insect Repellent,Mosquito Spray,f_killer_mosquito_spray,obj_099,mosquito_spray,"blue, white",spray can,"mosquito illustration, spray-type cap, ""에프킬라"" text","A blue and white spray can with a mosquito illustration, spray-type cap, and “에프킬라” text.",2025,,O,
100,Electronics,Input Device,Mouse,logitech_vertical_mouse_box,obj_100,mouse_box,"black, teal",box packaging,"""Logitech"" text, mouse illustration",A black and teal box featuring “Logitech” text and a mouse illustration.,2025,,O,
101,General Goods,Oral Care,Mouthwash,gumguard_mouthwash_bottle,obj_101,mouthwash,"white, black",plastic bottle,"""GUM GUARD"" text, capped type",A white and black plastic bottle with “GUM GUARD” text and a capped design.,2025,,O,
102,Kitchenware,Tableware,Cup,bmo_mug_cup_box,obj_102,mugcup_box,teal,box packaging,"character illustration, square box",A teal square box featuring a character illustration.,2025,,O,
103,Food & Beverage,Tea,Mulberry Leaf Tea,mulberry_leaf_tea_box,obj_103,mulberry_leaf_tea,magenta,box packaging,"""뽕잎차"" text, mulberry leaf illustration",A magenta box with “뽕잎차” text and a mulberry leaf illustration.,2025,,O, 
104,Health & Medical,Health Supplement,Multivitamin,multivitamin_bottle,obj_104,multi_vitamin_bottle,brown,plastic bottle,"labeled, bottle-shaped",A brown plastic bottle with a visible label and a standard bottle shape.,2025,,O,
105,Industrial Supplies,Measurement Tool,Multimeter,multimeter_box,obj_105,multimeter_box,"black, yellow",box packaging,"multimeter image, human hand graphic",A black and yellow box showing a multimeter image and a human hand graphic.,2025,,O, 
106,Health & Medical,Nasal Care,Allergy Spray,rhinitis_spray,obj_106,nasal_spray,white,spray type,"nasal spray form, elongated shape",A white spray-type item in nasal spray form with an elongated shape.,2025,,O,
107,Kitchenware,Hygiene Product,Nitrile Gloves,nitrile_gloves_box,obj_107,nitrile_gloves_box,"white, light green",box packaging,"""50 매 중형 화이트 니트릴 다용도 장갑"" text, glove image, food photo","A white and light green box with “50 매 중형 화이트 니트릴 다용도 장갑” text, a glove image, and a food photo.",2025,,O,
108,Food & Beverage,Bread,Manju,chestnut_manju,obj_108,manju,brown,,small round bread shape,A small brown item shaped like round bread.,2025,,O,
109,Food & Beverage,Bread,Manju,chestnut_manju_paper_pack,obj_109,manju_packet,"brown, white",paper wrapping,"printed label, white wrapper, brown ribbon, ""밤만쥬"" text","A brown and white paper-wrapped item with a printed label, white wrapper, brown ribbon, and “밤만쥬” text.",2025,,O,
110,General Goods,Massage Tool,Manual Massager,manual_massager,obj_110,manual_massager,pink,,"bumpy massage head, glossy ceramic material",A pink item made of glossy ceramic with a bumpy massage head.,2025,,O,
111,General Goods,Massage Tool,Massage Ball,massage_ball,obj_111,massage_ball,"black, gray, beige",,sphere shape,"An item in black, gray, and beige with a sphere shape.",2025,,O,
112,General Goods,Cleaning Tool,Towel,multipurpose_microfiber_towel_box,obj_112,microfiber_towel_box,"white, sky blue",box packaging,"towel image, hand graphic, ""다용도 극세사 타월"" text","A white and sky blue box with a towel image, hand graphic, and “다용도 극세사 타월” text.",2025,,O,
113,Electronics,PC,Mini PC,intel_nuc_pc,obj_113,mini_pc,black,,"rectangular, matte, with label",A black rectangular item with a matte surface and a visible label.,2025,,O,
114,Food & Beverage,Coffee,Coffee Mix,ediya_coffee_mix_stick,obj_114,mix_coffee_stick,"yellow, blue",plastic pouch,"stick type, elongated, glossy finish",A yellow and blue plastic pouch in stick form with an elongated shape and glossy finish.,2025,,O,
115,Food & Beverage,Coffee,Coffee Mix,ediya_coffee_mix_stick_box,obj_115,mix_coffee_stick_box,"yellow, blue",box packaging,"blue coffee cup image, ""EDIYA"" text",A yellow and blue box showing a blue coffee cup image and “EDIYA” text.,2025,,O,
116,Beauty,Skincare,Moisturizing Cream,nivea_moisturizing_cream_can,obj_116,moisturizing_cream_can,"navy, white",round can,"""NIVEA"" logo, aluminum material",A navy and white round can with the “NIVEA” logo and aluminum material.,2025,,O,
117,General Goods,Cleaning Agent,Mold Remover,mold_removal_gel,obj_117,mold_cleaner,"red, white",plastic bottle,"nozzle shape, ""곰팡이 제거젤"" text",A red and white plastic bottle with a nozzle shape and “곰팡이 제거젤” text.,2025,,O,
118,Health & Medical,Oral Medicine,Pain Reliever,tylenol_bottle,obj_118,pain_reliever_bottle,"white, red",plastic bottle,"cylindrical shape, ""타이레놀"" text",A white and red plastic bottle with a cylindrical shape and “타이레놀” text.,2025,,O,
119,Kitchenware,Cooking Tool,Frying Pan,frying_pan,obj_119,pan,"black, silver",,"round bottom pattern, with handle, metal material",A black and silver metal item with a round bottom pattern and a handle.,2025,,O,
120,Kitchenware,Disposable Tableware,Cup,disposable_paper_cup,obj_120,paper_cup,white,,"cylindrical shape, elongated",A white cylindrical item with an elongated form.,2025,,O,
121,Kitchenware,Hygiene Product,Kitchen Towel,kitchen_towel_roll,obj_121,paper_towel,light_yellow,,"roll shape, textured pattern, elongated",A light yellow item in a roll shape with a textured pattern and an elongated form.,2025,,O,
122,Kitchenware,Mounting Tool,Kitchen Towel Holder,kitchen_towel_holder,obj_122,paper_towel_stand,brown,,"round base, stick-type center axis, wood material","A brown item with a round base, stick-type center axis, and wooden material.",2025,,O,
123,Kitchenware,Cooking Tool,Peeler,potato_peeler,obj_123,peeler,"teal, silver",,"plastic handle, rotary blade",A teal and silver item with a plastic handle and a rotary blade.,2025,,O,
124,Kitchenware,Cooking Tool,Mortar,mortar_bowl,obj_124,mortar,"red, white",,"plastic material, round shape, white interior",A red and white plastic item with a round shape and white interior.,2025,,O,
125,Electronics,Insect Repellent,Mosquito Repellent,home_mat_device,obj_125,mosquito_repellent_device,white,,"round, glossy finish",A white round item with a glossy finish.,2025,,O,
126,Electronics,Insect Repellent,Mosquito Repellent,happy_home_liquid_vaporizer,obj_126,mosquito_repellent_diffuser,"beige, white",,"plug type, dual color scheme",A beige and white plug-type item with a dual color scheme.,2025,,O,
127,Electronics,Insect Repellent,Mosquito Repellent,happy_home_liquid_vaporizer_box,obj_127,mosquito_repellent_diffuser_box,"light_green, white",box packaging,"house image, ""해피홈"" text, with hole, rectangular","A light green and white rectangular box with a house image, “해피홈” text, and a punched hole.",2025,,O,
128,General Goods,Insect Repellent,Mosquito Repellent,home_mat_box,obj_128,mosquito_repellent_mat_box,"navy, white",box packaging,"""홈 매트"" text, rectangular",A navy and white rectangular box with “홈 매트” text.,2025,,O,
129,Fashion Accessories,Footwear,Loafer,penny_loafer,obj_129,penny_loafers,black,,"glossy leather material, shoes shape",A black item shaped like shoes with a glossy leather finish.,2025,,O,
130,Beauty,Hair Styling Tool,Perm Roll,perm_roll,obj_130,perm_rods,pink,,"cylindrical shape, elongated, plastic material",A pink elongated cylindrical item made of plastic.,2025,,O,
131,Kitchenware,Cooking Tool,Pestle,mortar_pestle,obj_131,pestle,light_yellow,,"cylindrical shape, with handle, wood material",A light yellow wooden item with a cylindrical shape and a handle.,2025,,O,
132,General Goods,Pet Item,Brush,grooming_brush,obj_132,pet_grooming_brush,"black, navy",,"razor shape, rubber grip handle",A black and navy item shaped like a razor with a rubber grip handle.,2025,,O,
133,General Goods,Cleanser,Soap,rosavenus_soap_plastic_wrap,obj_133,plastic_wrapped_bar_soap,"white, blue",plastic pouch,"""ROSA VENUS"" text, soap image",A white and blue plastic pouch with “ROSA VENUS” text and a soap image.,2025,,O,
134,Industrial Supplies,Car Care,Polish Restorer,bullsone_polish_restorer,obj_134,polish_restorer,"teal, black, white",tube type,"""BULLSONE 광택 복원제"" text","A teal, black, and white tube printed with “BULLSONE 광택 복원제” text.",2025,,O,
135,Industrial Supplies,Car Care,Polish Restorer,bullsone_polish_restorer_box,obj_135,polish_restorer_box,"teal, black, white",box packaging,"""BULLSONE 광택 복원제"" text, with hole","A teal, black, and white box with “BULLSONE 광택 복원제” text and a punched hole.",2025,,O,
136,Food & Beverage,Snack,Popcorn,no_brand_popcorn_box,obj_136,popcorn_box,"blue, yellow",box packaging,"large ""POP CORN"" text, popcorn image",A blue and yellow box featuring large “POP CORN” text and a popcorn image.,2025,,O,
